id,term,definition,exam_track_id,created_at,updated_at,scope
0b1c2d3e-4f5a-4024-a7b8-9c0d1e2f3a4b,Fulfillment Table Hierarchy,The sequence of records created when a standard catalog item is ordered: Request (sc_request) -> Requested Item (sc_req_item) -> Catalog Task (sc_task).,csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Self Service & Automation
0b1c2d3e-4f5a-4042-a7b8-9c0d1e2f3a4b,Update Set Deployment Sequence,"To move an update set to a new instance, the exact sequence of actions is: Retrieve -> Preview -> Commit.",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Data Migration and Integration
0d1e2f3a-4b5c-401a-c7d8-9e0f1a2b3c4d,ACL Permission Requirements,"To pass an ACL and gain access, a user must meet all defined criteria in the rule: Roles, Conditions, and Scripts.",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Database Management and Platform Security
0d1e2f3a-4b5c-4038-c7d8-9e0f1a2b3c4d,Freeform Visual Task Board,A personal VTB where lanes are created manually and task cards can be added freely. Moving cards between lanes does not update any underlying record data.,csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Configuring Applications for Collaboration
0d1e2f3a-4b5c-4056-c7d8-9e0f1a2b3c4d,List Layout vs. List Personalization,Changing the List Layout (via right-click > Configure) permanently changes the default view for all users. Changing the List Personalization (via the Gear Icon) overrides the default and only changes the view for the individual logged-in user.,csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Platform Overview / Instance Configuration
0f1a2b3c-4d5e-402e-e7f8-9a0b1c2d3e4f,Virtual Agent,"A conversational bot platform that provides user assistance, answers FAQs, and resolves common issues through a messaging interface using Natural Language Understanding (NLU).",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Self Service & Automation
0f1a2b3c-4d5e-404c-e7f8-9a0b1c2d3e4f,Display Business Rule,A specific type of business rule that executes before a form is loaded to the user. It is primarily used to pass server-side database data to client-side scripts using the g_scratchpad object.,csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Data Migration and Integration
12a4b8cd-3c12-4011-89e5-9f6b4d3a1e2f,Themes (Now Experience / UI16),"Advanced styling records that use CSS variables or JSON to apply specific, granular branding. They can be selected by users as preferences (e.g., Dark Mode) or applied to specific workspaces.",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Instance Configuration
1a2b3c4d-5e6f-412f-f8a9-0b1c2d3e4f5a,Condition Builder,"A tool used to filter list data to extract specific records. It always consists of three components: Field, Operator, and Value.",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Configuring Applications for Collaboration
1a2b3c4d-5e6f-414d-f8a9-0b1c2d3e4f5a,Multi-Instance Architecture (Single-Tenant),ServiceNow's architecture model where every customer receives their own dedicated database and application logic. This ensures strict data isolation and allows for independent upgrade schedules.,csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Platform Overview / Instance Configuration
1c2d3e4f-5a6b-4125-b8c9-0d1e2f3a4b5c,Variable Set,"A modular, grouped unit of variables that can be shared and reused across multiple different catalog items.",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Self Service & Automation
1c2d3e4f-5a6b-4143-b8c9-0d1e2f3a4b5c,Update Set State Lifecycle,"In progress -> Complete -> Ignore. (Note: Once an update set is marked 'Complete', it should never be reopened. Create a new one for fixes).",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Data Migration and Integration
1e2f3a4b-5c6d-411b-d8e9-0f1a2b3c4d5e,security_admin,An elevated privilege role that must be manually granted per session. It is explicitly required to create or modify Access Control Lists (ACLs) and High Security Settings.,csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Database Management and Platform Security
1e2f3a4b-5c6d-4139-d8e9-0f1a2b3c4d5e,Guided Visual Task Board,A VTB built from a list and driven by a specific field (like State). Moving a card from one lane to another automatically updates that field's value on the underlying record.,csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Configuring Applications for Collaboration
1e2f3a4b-5c6d-4157-d8e9-0f1a2b3c4d5e,Dictionary Override,"A feature that allows a field in an extended child table (e.g., Priority on Incident) to have a different behavior, mandatory status, or default value than the exact same field on its parent table (e.g., Task) without affecting other child tables.",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Platform Overview / Instance Configuration
2b3c4d5e-6f7a-4230-a9b0-1c2d3e4f5a6b,Tags,"Labels used to categorize, flag, and quickly locate records. Their visibility can be set to ""Me"" (personal), specific Groups/Users, or ""Everyone"" (global).",csa,2026-04-05 07:25:05.170374+00,2026-04-05 07:25:05.170374+00,Configuring Applications for Collaboration
